"last_name, first_name","player_id","year","pa","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","avg_swing_length","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","whiff_percent","batted_ball"
"Bell, Josh","605137","2020","223",".228",".381",".286",".297",".308",".153",".348",".365",,24.3,8.6,42.9,72.5,26.9,33.6,"140"
"Canha, Mark","592192","2020","243",".241",".415",".351",".359",".387",".175",".370",".383",,37.3,7.7,39.4,57.8,19.2,24,"142"
"Nimmo, Brandon","607043","2020","225",".250",".423",".387",".359",".381",".173",".416",".373",,30.8,7.7,32.9,67.4,17.3,21.6,"143"
"Bradley Jr., Jackie","598265","2020","217",".220",".368",".352",".301",".311",".148",".411",".336",,28.5,7.6,36.4,67.6,23.8,26.1,"144"
"Muncy, Max","571970","2020","248",".229",".473",".316",".360",".362",".244",".338",".413",,29,12.4,40,59.6,15.9,26.8,"145"
"Reyes, Franmil","614177","2020","241",".245",".442",".341",".342",".328",".197",".440",".444",,31.3,12.9,44.9,69.3,27.5,38.5,"147"
"Reddick, Josh","502210","2020","210",".246",".360",".304",".303",".319",".114",".337",".336",,34.7,4.8,29.3,68.4,25.7,22.6,"147"
"Segura, Jean","516416","2020","217",".250",".391",".333",".318",".334",".141",".380",".358",,31.8,6.1,38.5,65.1,31.5,22.4,"148"
"Alonso, Pete","624413","2020","239",".225",".463",".342",".334",".323",".238",".419",".407",,30.4,12.8,41.2,65.3,30.5,30.4,"148"
"Goldschmidt, Paul","502671","2020","231",".285",".510",".387",".396",".403",".224",".419",".432",,42.3,10.7,40.9,61.1,22.5,23.7,"149"
"Báez, Javier","595879","2020","235",".213",".380",".256",".275",".251",".167",".351",".383",,24.8,8.1,40.3,73.3,38.7,38.2,"149"
"Castellanos, Nick","592206","2020","242",".274",".545",".329",".375",".343",".271",".426",".500",,39.3,16,46.7,73.4,35.8,34.2,"150"
"Mondesi, Adalberto","609275","2020","233",".215",".355",".305",".267",".255",".140",".416",".358",,19.9,7.3,39.1,77.4,35,40,"151"
"Aguilar, Jesús","542583","2020","216",".271",".452",".347",".345",".348",".182",".383",".379",,37.5,7.2,37.5,63.8,31.9,22.3,"152"
"Ahmed, Nick","605113","2020","217",".247",".377",".318",".304",".310",".131",".369",".350",,30.1,5.2,33.3,69.2,30.3,27.4,"153"
"Pollock, AJ","572041","2020","210",".269",".499",".364",".345",".312",".230",".447",".422",,37.9,10.5,43.1,65.3,29.9,24.7,"153"
"Springer III, George","543807","2020","222",".294",".569",".379",".405",".386",".275",".412",".450",,35.3,12.4,42.5,74,23.6,25.3,"153"
