"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Walsh, Jared",665120,2022,454,0.221,0.368,0.278,0.28,0.274,0.147,0.374,0.376,,34.0,9.5,42.5,66.0,30.8,27.7,285,105.86,35.2
"Peña, Jeremy",665161,2022,558,0.252,0.402,0.309,0.304,0.289,0.15,0.388,0.381,,32.9,9.7,36.7,75.3,37.8,29.7,392,105.31,37.5
"Celestino, Gilberto",665482,2022,347,0.219,0.294,0.28,0.27,0.297,0.075,0.312,0.298,,27.1,2.5,34.3,65.7,21.8,23.4,236,102.11000000000001,43.900000000000006
"Guerrero Jr., Vladimir",665489,2022,706,0.281,0.464,0.351,0.351,0.345,0.183,0.391,0.391,,27.9,11.2,50.4,71.5,30.5,24.4,526,111.0,41.0
"Soto, Juan",665742,2022,664,0.266,0.501,0.376,0.401,0.42,0.235,0.363,0.402,,28.5,12.4,47.4,56.3,17.2,19.4,428,107.23,39.099999999999994
"Taveras, Leody",665750,2022,341,0.226,0.318,0.297,0.267,0.277,0.091,0.372,0.327,,28.7,4.3,36.1,68.1,31.7,28.5,230,103.9,36.39999999999999
"Cruz, Oneil",665833,2022,361,0.219,0.406,0.32,0.301,0.282,0.187,0.466,0.433,,30.6,15.5,46.1,52.9,30.5,35.4,206,111.42,22.4
"Giménez, Andrés",665926,2022,557,0.257,0.4,0.364,0.326,0.336,0.143,0.422,0.368,,31.3,6.2,37.8,70.9,38.4,26.4,386,102.85,32.50000000000001
"Lux, Gavin",666158,2022,471,0.247,0.372,0.328,0.314,0.325,0.124,0.372,0.351,,34.0,6.1,39.8,62.5,23.7,23.3,329,102.7,38.8
"Bichette, Bo",666182,2022,697,0.278,0.444,0.347,0.334,0.322,0.166,0.426,0.408,,33.3,9.6,50.3,77.6,35.2,23.0,499,106.6,42.39999999999999
"Carlson, Dylan",666185,2022,488,0.234,0.355,0.306,0.301,0.316,0.121,0.333,0.326,,35.7,4.4,27.2,67.8,24.8,25.7,342,101.1,43.0
"Morel, Christopher",666624,2022,425,0.229,0.431,0.322,0.321,0.304,0.202,0.441,0.442,,30.0,13.4,40.3,71.8,28.6,38.5,247,106.02,43.199999999999996
"Dalbec, Bobby",666915,2022,353,0.216,0.379,0.287,0.296,0.287,0.163,0.39,0.406,,32.0,11.8,45.8,66.3,29.1,35.0,203,105.58,37.199999999999996
"García, Adolis",666969,2022,657,0.244,0.447,0.324,0.322,0.296,0.204,0.425,0.422,,36.9,12.9,47.4,73.5,37.3,33.5,428,106.8,36.2
"Gurriel Jr., Lourdes",666971,2022,493,0.273,0.4,0.327,0.321,0.328,0.127,0.364,0.356,,34.7,3.8,45.7,68.4,29.6,21.3,372,104.1,38.800000000000004
"Arozarena, Randy",668227,2022,645,0.234,0.382,0.336,0.301,0.301,0.148,0.411,0.36,,28.2,7.9,41.0,64.0,30.9,28.7,432,106.41000000000001,33.1
"Reynolds, Bryan",668804,2022,614,0.249,0.416,0.349,0.329,0.334,0.167,0.416,0.385,,35.5,7.9,42.9,73.0,31.5,27.8,403,105.18,41.5
"Rutschman, Adley",668939,2022,470,0.248,0.411,0.354,0.342,0.358,0.163,0.377,0.359,,35.6,7.9,36.8,61.1,23.1,17.9,315,103.5,38.0
"Rojas, Josh",668942,2022,510,0.239,0.361,0.326,0.305,0.324,0.123,0.36,0.33,,33.5,4.5,36.1,62.5,19.9,22.3,355,101.5,42.6
"Melendez Jr., MJ",669004,2022,534,0.237,0.41,0.31,0.332,0.334,0.173,0.357,0.392,,31.0,10.4,43.5,66.0,24.1,27.8,336,104.77,41.9
"Marsh, Brandon",669016,2022,461,0.226,0.372,0.296,0.287,0.279,0.146,0.426,0.41,,40.8,7.4,38.2,64.7,31.8,29.2,272,104.88000000000001,32.900000000000006
"Murphy, Sean",669221,2022,612,0.255,0.439,0.331,0.344,0.34,0.184,0.371,0.39,,34.7,10.5,41.4,71.1,29.5,24.0,418,106.3,41.599999999999994
"Senzel, Nick",669222,2022,420,0.249,0.355,0.272,0.299,0.313,0.106,0.291,0.329,,35.0,3.3,33.9,68.2,27.7,21.8,300,101.93,40.5
"Edman, Tommy",669242,2022,630,0.258,0.38,0.318,0.308,0.318,0.122,0.354,0.341,,31.6,6.2,37.8,64.0,30.6,20.6,468,103.3,33.4
