last_name,first_name,player_id,year,PA,wOBA,xwOBA,xBA,xSLG,Barrel%,HardHit%,O-Contact%,Z-Contact%,O-Swing%,Z-Swing%,Whiff%,Z-O Swing%,Pulled FB%,EV90,Sweet Spot%,Bat Speed
McMahon,Ryan,641857.0,2024,645,0.315,0.324,0.242,0.413,0.10800000000000001,0.49200000000000005,0.57,0.807,0.304,0.6709999999999999,0.13,0.36699999999999994,12.953367875647666,107.18,36.787564766839374,70.62508445945946
Alvarez,Francisco,682626.0,2024,342,0.31,0.288,0.22,0.358,0.067,0.42,0.57,0.845,0.322,0.6559999999999999,0.12300000000000001,0.3339999999999999,13.839285714285715,106.96000000000001,27.67857142857143,71.85648994515539
Fermin,Freddy,666023.0,2024,368,0.3,0.279,0.244,0.334,0.032,0.33899999999999997,0.6409999999999999,0.9,0.354,0.735,0.105,0.381,9.386281588447654,102.25,29.602888086642597,68.27452966714905
Meyers,Jake,676694.0,2024,513,0.285,0.304,0.235,0.383,0.068,0.37,0.5329999999999999,0.883,0.32799999999999996,0.711,0.124,0.383,15.384615384615385,103.33,34.18803418803419,65.51950310559006
Rojas,Josh,668942.0,2024,476,0.286,0.292,0.223,0.35,0.055999999999999994,0.379,0.5660000000000001,0.868,0.256,0.685,0.10099999999999999,0.42900000000000005,15.457413249211358,101.4,35.646687697160885,64.3377450980392
Caballero,Jose,676609.0,2024,483,0.277,0.264,0.214,0.311,0.051,0.252,0.5920000000000001,0.848,0.377,0.6729999999999999,0.133,0.29599999999999993,11.146496815286625,101.29,34.71337579617834,66.80652431791222
d'Arnaud,Travis,518595.0,2024,341,0.319,0.321,0.235,0.433,0.10400000000000001,0.41,0.583,0.778,0.317,0.768,0.14800000000000002,0.451,12.162162162162163,104.11,31.08108108108108,70.03057432432433
Torres,Gleyber,650402.0,2024,665,0.313,0.307,0.24,0.368,0.063,0.354,0.696,0.843,0.26,0.7170000000000001,0.094,0.4570000000000001,18.655097613882862,102.63999999999999,37.093275488069416,68.36675020885548
DeJong,Paul,657557.0,2024,482,0.302,0.291,0.218,0.395,0.102,0.415,0.496,0.7759999999999999,0.386,0.826,0.19,0.43999999999999995,15.98639455782313,104.94,37.07482993197279,70.86660194174756
Stott,Bryson,681082.0,2024,571,0.296,0.307,0.255,0.365,0.036000000000000004,0.308,0.799,0.894,0.321,0.591,0.064,0.26999999999999996,13.981042654028435,101.6,35.308056872037916,66.10177083333333
Siri,Jose,642350.0,2024,448,0.271,0.296,0.2,0.409,0.146,0.413,0.483,0.7,0.385,0.6709999999999999,0.2,0.2859999999999999,11.344537815126051,105.63,35.714285714285715,69.5046875
Fry,David,681807.0,2024,392,0.347,0.326,0.246,0.394,0.07400000000000001,0.374,0.621,0.865,0.32299999999999995,0.725,0.11199999999999999,0.402,14.117647058823529,103.32000000000001,36.07843137254902,68.77627118644068
Nootbaar,Lars,663457.0,2024,405,0.331,0.355,0.264,0.455,0.099,0.495,0.7190000000000001,0.8909999999999999,0.204,0.573,0.06,0.369,8.058608058608058,105.7,32.967032967032964,70.49297658862876
Yastrzemski,Mike,573262.0,2024,474,0.319,0.301,0.219,0.397,0.105,0.408,0.612,0.84,0.267,0.6579999999999999,0.10400000000000001,0.3909999999999999,12.418300653594772,103.74,33.33333333333333,69.11307966706303
Keith,Colt,690993.0,2024,556,0.301,0.313,0.268,0.396,0.055999999999999994,0.35,0.608,0.8959999999999999,0.327,0.698,0.105,0.37099999999999994,13.23529411764706,103.39,35.294117647058826,69.45903225806451
O'Hearn,Ryan,656811.0,2024,494,0.33,0.351,0.278,0.461,0.069,0.401,0.698,0.92,0.292,0.701,0.07400000000000001,0.409,15.915119363395224,103.65,35.54376657824933,71.05651162790697
Jeffers,Ryan,680777.0,2024,465,0.317,0.304,0.227,0.386,0.083,0.33799999999999997,0.674,0.872,0.368,0.659,0.106,0.29100000000000004,14.461538461538462,104.26,31.692307692307693,70.2732057416268
Sanchez,Jesus,660821.0,2024,537,0.317,0.343,0.264,0.468,0.122,0.511,0.573,0.8340000000000001,0.392,0.747,0.151,0.355,10.511363636363637,109.81,32.95454545454545,72.93414387031409
Steer,Spencer,668715.0,2024,656,0.316,0.314,0.235,0.379,0.064,0.39899999999999997,0.602,0.903,0.287,0.667,0.09300000000000001,0.38000000000000006,12.52847380410023,103.7,34.39635535307517,69.80635785649409
Perkins,Blake,663368.0,2024,434,0.288,0.275,0.218,0.311,0.039,0.377,0.607,0.8420000000000001,0.273,0.598,0.102,0.32499999999999996,12.811387900355871,100.7,33.45195729537366,65.97108603667137
Crawford,J.P.,641487.0,2024,451,0.283,0.309,0.227,0.363,0.065,0.37799999999999995,0.715,0.872,0.21600000000000003,0.648,0.071,0.432,14.432989690721648,103.32,30.927835051546392,70.10402219140083
Naylor,Bo,666310.0,2024,389,0.269,0.26,0.196,0.326,0.081,0.377,0.601,0.816,0.312,0.664,0.124,0.35200000000000004,8.47457627118644,102.96000000000001,31.35593220338983,68.43586206896552
Pasquantino,Vinnie,686469.0,2024,554,0.325,0.331,0.266,0.438,0.071,0.465,0.7809999999999999,0.943,0.33799999999999997,0.674,0.059000000000000004,0.3360000000000001,11.389521640091116,105.4,31.890660592255127,70.23795620437957
Massey,Michael,686681.0,2024,356,0.317,0.309,0.258,0.414,0.071,0.369,0.725,0.9359999999999999,0.39799999999999996,0.7,0.083,0.302,13.829787234042554,102.08,32.62411347517731,69.51661764705882
Frelick,Sal,686217.0,2024,524,0.292,0.279,0.247,0.305,0.006999999999999999,0.19399999999999998,0.802,0.94,0.29600000000000004,0.563,0.048,0.2669999999999999,12.75,100.16,30.0,63.82679245283019
Isbel,Kyle,664728.0,2024,426,0.286,0.281,0.234,0.333,0.039,0.363,0.684,0.9420000000000001,0.34299999999999997,0.61,0.077,0.267,8.49673202614379,104.06,26.143790849673206,68.89498525073746
Larnach,Trevor,663616.0,2024,400,0.336,0.342,0.256,0.455,0.10099999999999999,0.451,0.498,0.879,0.281,0.6609999999999999,0.115,0.3799999999999999,15.671641791044777,106.84,36.56716417910448,71.09065281899109
Winker,Jesse,608385.0,2024,508,0.338,0.329,0.245,0.384,0.076,0.374,0.667,0.8759999999999999,0.22899999999999998,0.675,0.079,0.44600000000000006,10.94224924012158,102.9,30.091185410334347,67.6489260143198
Burger,Jake,669394.0,2024,579,0.325,0.338,0.256,0.476,0.12300000000000001,0.46799999999999997,0.5710000000000001,0.848,0.413,0.698,0.149,0.285,11.053984575835475,108.7,32.64781491002571,72.91593780369291
Mountcastle,Ryan,663624.0,2024,507,0.316,0.332,0.272,0.445,0.08800000000000001,0.452,0.653,0.857,0.405,0.779,0.128,0.374,13.424657534246576,107.2,36.43835616438356,73.56288032454361
Thomas,Lane,657041.0,2024,528,0.309,0.307,0.242,0.377,0.07400000000000001,0.406,0.653,0.87,0.267,0.665,0.09,0.398,11.76470588235294,105.11,31.470588235294116,69.90710955710956
Lux,Gavin,666158.0,2024,487,0.31,0.315,0.256,0.382,0.06,0.41100000000000003,0.64,0.872,0.27399999999999997,0.684,0.094,0.4100000000000001,11.180124223602485,103.21000000000001,34.78260869565217,69.66777777777777
Gelof,Zack,680869.0,2024,547,0.276,0.271,0.199,0.347,0.08800000000000001,0.37200000000000005,0.455,0.763,0.32799999999999996,0.745,0.17800000000000002,0.41700000000000004,11.987381703470032,104.0,34.38485804416404,69.43881644934804
Jr.,LaMonte,664774.0,2024,401,0.337,0.354,0.259,0.428,0.094,0.441,0.545,0.895,0.23199999999999998,0.6509999999999999,0.09,0.41899999999999993,12.653061224489795,105.46000000000001,39.59183673469388,70.49028662420382
Conforto,Michael,624424.0,2024,488,0.327,0.35,0.257,0.479,0.11800000000000001,0.45799999999999996,0.643,0.848,0.289,0.665,0.102,0.37600000000000006,11.145510835913312,107.0,32.19814241486068,72.64328732747805
Gonzales,Nick,693304.0,2024,387,0.307,0.317,0.27,0.407,0.079,0.369,0.594,0.879,0.384,0.7959999999999999,0.13,0.4119999999999999,11.379310344827587,103.36,34.82758620689655,69.29865951742627
Albies,Ozzie,645277.0,2024,435,0.307,0.302,0.246,0.387,0.062,0.32,0.711,0.868,0.37,0.851,0.109,0.481,11.242603550295858,100.9,33.72781065088758,67.46254458977408
